prediction,price
16409.57137046779,14456
20786.926639274552,19797
24907.677566114566,17900
24907.677566114566,17900
23776.61603986432,24695
24770.631901553097,25226
23776.61603986432,25047
23776.61603986432,22000
24770.631901553097,22432
24770.631901553097,25347
24770.631901553097,25868
24770.631901553097,20876
23719.503587136052,16710
12219.944895588049,5990
12123.106970517158,6995
18204.60741445839,12988
12123.106970517158,8610
10877.879211573181,7850
25532.1479203465,20376
23668.384324327584,16445
23668.384324327584,17112
23668.384324327584,17112
24339.7014573538,26764
23913.661704425784,17540
23776.61603986432,15665
23776.61603986432,16310
23776.61603986432,16535
23776.61603986432,18735
23776.61603986432,18990
23776.61603986432,15925
23776.61603986432,14925
23776.61603986432,15665
23719.503587136052,17705
23719.503587136052,16125
23719.503587136052,17235
24770.631901553097,12995
23719.503587136052,18625
23719.503587136052,18990
23719.503587136052,16865
24770.631901553097,17770
23719.503587136052,17925
24770.631901553097,20035
24770.631901553097,22440
24770.631901553097,22440
24770.631901553097,22440
24770.631901553097,23399
23776.61603986432,27218
24770.631901553097,22440
24770.631901553097,23879
24770.631901553097,23500
23719.503587136052,25178
23719.503587136052,22906
23719.503587136052,27149
16452.958122192475,12599
10877.879211573181,5995
19832.157161347663,9995
19832.157161347663,13888
16515.862108739577,10599
24724.189439034722,25440
24724.189439034722,27260
24724.189439034722,29405
24724.189439034722,33320
23776.61603986432,26501
23776.61603986432,27141
23776.61603986432,29696
24770.631901553097,27030
24770.631901553097,28886
23776.61603986432,31713
24770.631901553097,28143
24770.631901553097,26381
24770.631901553097,24875
23719.503587136052,34047
23719.503587136052,27115
24770.631901553097,24040
27141.675345411357,33445
27064.35539000614,26170
26509.964515179967,26135
26509.964515179967,28875
26509.964515179967,28875
26509.964515179967,20353
27064.35539000614,26178
26509.964515179967,26358
26728.10618680702,27580
27064.35539000614,17060
27064.35539000614,18390
26728.10618680702,27825
26452.8520624517,26168
27064.35539000614,20694
26728.10618680702,27950
26728.10618680702,27950
10877.879211573181,3495
10877.879211573181,6500
21572.97020341375,26510
24724.189439034722,12434
24907.677566114566,13171
24907.677566114566,13507
23719.503587136052,21250
24907.677566114566,20566
24724.189439034722,22650
24724.189439034722,24730
24907.677566114566,27199
24907.677566114566,19627
24907.677566114566,19627
24907.677566114566,19627
24907.677566114566,19627
24907.677566114566,19627
24907.677566114566,19627
24907.677566114566,19627
24907.677566114566,20566
24907.677566114566,20566
24907.677566114566,20566
24907.677566114566,20647
24907.677566114566,20764
24907.677566114566,20949
24907.677566114566,22356
24907.677566114566,24135
24907.677566114566,24135
24907.677566114566,30931
23776.61603986432,24201
23776.61603986432,24756
24770.631901553097,22274
24770.631901553097,24917
23776.61603986432,22295
23776.61603986432,22763
23719.503587136052,20857
23719.503587136052,21310
23719.503587136052,21866
23719.503587136052,26145
23719.503587136052,20487
24770.631901553097,21580
24770.631901553097,25422
24770.631901553097,21313
24770.631901553097,27642
24770.631901553097,26390
24770.631901553097,22444
24770.631901553097,17780
23719.503587136052,22155
23719.503587136052,25701
24770.631901553097,27642
24770.631901553097,26956
23913.661704425784,17162
23913.661704425784,17624
23913.661704425784,17768
23913.661704425784,19320
23913.661704425784,19320
24770.631901553097,24034
24770.631901553097,20850
24770.631901553097,21399
24770.631901553097,23899
24770.631901553097,25249
24770.631901553097,25349
24770.631901553097,26975
23776.61603986432,27209
23719.503587136052,21695
23719.503587136052,17624
23719.503587136052,21234
23719.503587136052,22054
23719.503587136052,22274
24770.631901553097,23899
24770.631901553097,24399
24770.631901553097,24399
23719.503587136052,24534
24770.631901553097,24749
24770.631901553097,24749
23719.503587136052,25384
23719.503587136052,27034
23719.503587136052,27100
23719.503587136052,27110
24770.631901553097,27114
24770.631901553097,29425
23719.503587136052,20975
23719.503587136052,24034
23719.503587136052,24524
23719.503587136052,24874
23719.503587136052,25384
23719.503587136052,17237
23719.503587136052,17768
24770.631901553097,26884
23719.503587136052,20565
23719.503587136052,24024
23719.503587136052,24524
23719.503587136052,17447
23719.503587136052,25214
15464.003221926167,18995
10008.979041143086,8750
19043.86015917222,17998
15435.813430384946,20701
15271.03763689921,15998
11325.942472816823,7999
19839.55732610866,20998
17999.93675668282,14998
15634.56502066296,15500
15662.754812204177,19995
19043.86015917222,16991
15921.58594434428,14888
15921.58594434428,13900
15921.58594434428,16500
20528.37503314588,12493
17079.59603151035,10450
16515.862108739577,15897
19158.705124606808,20998
18204.60741445839,20480
17079.59603151035,18886
17079.59603151035,21997
17079.59603151035,18998
16515.862108739577,14500
15929.426616014814,15500
12363.527165973652,9999
12363.527165973652,13900
12123.106970517158,6995
12123.106970517158,6995
12123.106970517158,8595
10877.879211573181,5999
10877.879211573181,8500
10877.879211573181,4995
20618.200725486866,23995
20528.37503314588,23998
19832.157161347663,21996
19742.331469006676,14998
19832.157161347663,18499
19742.331469006676,18998
19832.157161347663,19288
19832.157161347663,15995
19832.157161347663,18977
19742.331469006676,17995
