prediction,price
22201.79179923255,20046
22201.79179923255,20417
22088.638169907117,20976
22201.79179923255,24940
21982.17912373744,25000
22201.79179923255,24545
21982.17912373744,17111
21982.17912373744,17481
22088.638169907117,20046
21804.12766774261,16318
21804.12766774261,20537
11531.144183613209,8999
11531.144183613209,8500
22592.058773256027,20391
22533.97399826279,24915
20197.243257938357,14740
20197.243257938357,14085
21982.17912373744,25652
21982.17912373744,25652
21804.12766774261,26690
21804.12766774261,28240
21982.17912373744,21945
21982.17912373744,26690
22201.79179923255,24944
22201.79179923255,18599
21982.17912373744,30535
8780.375691396604,6957
11452.014633946897,10900
11143.592568996039,9495
8399.740194767917,7995
22230.129164121685,26689
22623.245819115775,30425
23020.909950605714,27904
23020.909950605714,29640
22623.245819115775,30510
23020.909950605714,31759
23020.909950605714,22415
22230.129164121685,29985
23020.909950605714,30860
23020.909950605714,32089
22346.843841990856,30905
23137.624628474885,25868
22623.245819115775,22445
22230.129164121685,24440
23020.909950605714,28945
22907.75632128028,24715
23020.909950605714,30580
27700.66265975031,20360
27700.66265975031,20780
27987.961047985693,22575
27987.961047985693,22575
27310.333890827096,28875
27310.333890827096,28875
27310.333890827096,28875
27427.048568696267,31250
21889.06807293167,20313
21925.205353090165,20500
10583.562234981211,6995
11677.16319248285,13000
17767.695965856336,13900
20431.987371444957,15890
19341.12088169563,17490
19341.12088169563,15346
19227.9672523702,15423
20197.243257938357,15645
19341.12088169563,15890
22580.867716930126,17424
22580.867716930126,18349
22580.867716930126,18877
22580.867716930126,19243
22978.531848420065,21835
22187.751061936036,24543
22978.531848420065,25180
22978.531848420065,26090
22978.531848420065,26585
22978.531848420065,26885
22978.531848420065,20999
22978.531848420065,21648
22865.378219094633,22076
22865.378219094633,23004
22865.378219094633,24377
22865.378219094633,24377
22865.378219094633,26500
22865.378219094633,26500
22978.531848420065,29330
22978.531848420065,29330
22978.531848420065,18238
22978.531848420065,19191
22978.531848420065,19623
22978.531848420065,19623
22978.531848420065,19623
22978.531848420065,19623
22978.531848420065,19977
22580.867716930126,20335
22978.531848420065,20409
22978.531848420065,22890
22978.531848420065,24480
22184.026442625567,22375
22187.751061936036,22595
22978.531848420065,22930
22978.531848420065,23047
22978.531848420065,23047
22187.751061936036,24590
22187.751061936036,26580
22187.751061936036,18790
22187.751061936036,19285
22187.751061936036,20185
22187.751061936036,18623
22187.751061936036,18623
22187.751061936036,18623
22187.751061936036,18623
22187.751061936036,19123
22187.751061936036,19123
22187.751061936036,19123
22187.751061936036,19123
22187.751061936036,19658
22187.751061936036,19658
22187.751061936036,19658
22187.751061936036,19958
22187.751061936036,20101
22187.751061936036,20101
22187.751061936036,20101
22187.751061936036,20401
22187.751061936036,20401
22978.531848420065,25536
22187.751061936036,29470
22187.751061936036,29470
22978.531848420065,24010
22187.751061936036,26272
22187.751061936036,26272
22187.751061936036,17971
22978.531848420065,25926
22978.531848420065,28685
22978.531848420065,17980
22978.531848420065,20806
22187.751061936036,18390
22978.531848420065,24534
22865.378219094633,21507
22187.751061936036,17890
22187.751061936036,18735
22865.378219094633,17569
22865.378219094633,20295
22865.378219094633,20500
22865.378219094633,26975
22978.531848420065,18084
22978.531848420065,18534
22978.531848420065,21634
22865.378219094633,17649
22978.531848420065,20274
22978.531848420065,20274
22865.378219094633,20295
22865.378219094633,24625
22978.531848420065,25249
22978.531848420065,26749
14656.763139539924,13998
12840.408164498982,11487
9781.563480845867,8495
13067.213212351648,11680
10878.128526741866,11000
10961.698754021885,13995
16532.043350222775,17687
16668.623707418323,16996
16668.623707418323,16995
14073.55356759053,16000
14073.55356759053,13675
13920.678548146889,13297
13936.973210394981,14339
13936.973210394981,15998
10840.825250481133,10998
14073.55356759053,15493
10840.825250481133,11988
11009.953907217066,9990
12495.130043669176,9800
11143.592568996039,7895
5614.94593620873,4995
17313.237497747898,20499
14434.071943608214,18971
11482.604036707065,13900
11602.45008059603,10998
11477.937774646874,10995
8385.195241717262,8381
7483.62114646347,5995
17713.167204418147,18999
17713.167204418147,19600
17713.167204418147,18995
17826.32083374358,17995
17313.237497747898,15340
17826.32083374358,19588
17593.32116052918,18995
17313.237497747898,17987
17826.32083374358,16998
17826.32083374358,26145
17608.603185801516,14599
17608.603185801516,15998
17608.603185801516,16998
17313.237497747898,14998
17608.603185801516,17763
17608.603185801516,15995
17313.237497747898,16000
17309.51287843743,15176
14534.878475886046,15998
14654.72451977501,14998
14654.72451977501,15998
14654.72451977501,16495
14729.43763166183,14998
14729.43763166183,15879
14729.43763166183,16997
14534.878475886046,13988
14729.43763166183,14995
14729.43763166183,15850
14654.72451977501,13700
14430.347324297743,17980
14729.43763166183,11270
14729.43763166183,15995
14434.071943608214,13995
14125.649878657356,9988
14221.790148874996,15500
14125.649878657356,9988
14346.302454824152,10380
14125.649878657356,13987
14226.456410935187,14988
11602.45008059603,10991
11381.797504429234,8795
14729.43763166183,14358
14654.72451977501,14599
14534.878475886046,16169
14434.071943608214,13589
14434.071943608214,14999
14729.43763166183,16522
14430.347324297743,16930
14430.347324297743,16500
17713.167204418147,19924
17608.603185801516,15688
14729.43763166183,17495
17755.545306603795,13924
14813.81729982983,14124
14813.81729982983,11419
14593.164723663034,14700
14593.164723663034,13998
14813.81729982983,12480
17289.448653182237,14828
14410.283099042555,15801
14410.283099042555,14990
14430.347324297743,15423
14101.861034091697,14699
14101.861034091697,15796
11358.008659863575,10499
17309.51287843743,16999
17985.4136137984,15495
17872.259984472967,16800
17472.330277802717,16998
17767.695965856336,15995
17472.330277802717,20999
17573.13681008055,13998
17692.982853969515,18600
17767.695965856336,17990
14888.53041171665,18998
14888.53041171665,15495
14888.53041171665,15995
14693.971255940865,13998
14430.347324297743,14249
14385.549190990007,13599
11836.25597253767,14995
11477.937774646874,12995
11540.890284484054,12995
22195.19943951666,18915
5543.689904162908,3995
9217.005385741866,7000
18676.049047287757,17459
20758.22808240882,17705
20099.04947758242,18613
20099.04947758242,20085
21696.49347713891,30805
21804.12766774261,29899
22201.79179923255,25755
22201.79179923255,35830
21982.17912373744,17494
22201.79179923255,17945
21982.17912373744,18915
21982.17912373744,20015
21982.17912373744,17945
21982.17912373744,17945
21982.17912373744,17945
21982.17912373744,17945
21982.17912373744,17945
21982.17912373744,20015
21982.17912373744,17945
21982.17912373744,20015
21982.17912373744,17945
21982.17912373744,17945
21982.17912373744,17945
21982.17912373744,17945
21696.49347713891,19355
21696.49347713891,19476
22201.79179923255,19880
23020.909950605714,25265
23020.909950605714,29270
23020.909950605714,29270
22230.129164121685,30190
22184.026442625567,25265
22230.129164121685,25265
23020.909950605714,24070
23020.909950605714,25025
23020.909950605714,26025
22230.129164121685,23852
22346.843841990856,27706
22623.245819115775,19556
22623.245819115775,20485
23020.909950605714,20668
22230.129164121685,21660
22230.129164121685,21660
22230.129164121685,24021
22907.75632128028,24435
22907.75632128028,24730
22907.75632128028,24730
23020.909950605714,20181
23020.909950605714,21145
23020.909950605714,21145
23020.909950605714,21493
23020.909950605714,21504
22623.245819115775,25610
22623.245819115775,25830
22230.129164121685,24095
23020.909950605714,24703
22623.245819115775,19556
22623.245819115775,19556
22623.245819115775,19556
22230.129164121685,20558
22230.129164121685,21507
22230.129164121685,21507
22230.129164121685,24690
22230.129164121685,20558
22230.129164121685,20558
