prediction,price
3365.674903852660,2495
4048.972684182470,3499
4422.837398815390,2999
4514.60065049094,30000
4587.065337477000,3799
4591.451848210610,2999
4596.938223473020,3399
4612.753115564530,4499
4619.923338888090,4995
4684.6201310905300,2999
4684.6201310905300,3999
4691.642179434640,6400
4766.741966873190,3599
4804.770584480670,2899
4809.769473359420,4995
4869.428792033890,5250
4873.048507132460,3199
4934.390113619920,1995
5043.98588011797,9995
5046.9956793939500,3999
5124.982817294740,5999
5235.690273855790,3995
5235.690273855790,3995
5235.690273855790,5500
5235.690273855790,7600
5264.356642562330,3999
5325.274824006120,2999
5355.821029548540,3499
5355.821029548540,4499
5406.010719137560,2499
5427.940534587230,4990
5445.1483652911800,3900
5503.663062526240,3499
5530.51699920979,2000
5530.51699920979,2500
5531.032552901930,4999
5553.193881583630,2499
5572.768734700330,2999
5599.8988349225700,7199
5616.385618683420,5099
5634.732688642980,5899
5668.316989170380,6195
5699.294362494630,4999
5699.294362494630,5995
5711.561015355140,2999
5712.873639581400,6495
5730.500958278260,5499
5754.983731572780,4499
5755.207908310960,2299
5755.207908310960,3750
5762.583064074160,3999
5808.339068748930,3999
5808.385159501230,6499
5820.329814867890,4499
5820.329814867890,4999
5823.283453510630,3699
5835.061114705730,2999
5841.992512093030,2999
5841.992512093030,3995
5849.716741610350,4999
5858.337635848910,5495
5863.869102075210,1495
5865.406576741720,7999
5868.30184276439,3499
5868.30184276439,4999
5904.328547638300,4288
5936.698674329080,4999
5960.272144236740,6999
5969.496015150970,2999
5969.496015150970,3999
5984.370699136530,6995
5996.475722464120,2999
5996.475722464120,3399
6021.027957682840,3995
6021.027957682840,3995
6021.027957682840,5400
6023.557366541330,4999
6027.141461092870,2395
6027.141461092870,5995
6027.141461092870,5999
6029.831919227420,1999
6029.831919227420,3999
6054.929614528300,11499
6059.936515122260,4500
6068.891542723030,3399
6073.983110597530,5999
6079.692005202870,3900
6079.692005202870,7500
6095.87125003618,3850
6095.87125003618,4999
6096.2444321885500,4999
6108.3884879267600,4495
6108.3884879267600,4495
6121.675291956380,3099
6130.393713622390,7000
6152.905180600450,3750
6153.316444984290,5995
6153.318908860900,7999
6182.5838822162600,5299
6182.5838822162600,6599
6214.893202526900,3750
6224.0420772756900,3499
6253.364053543360,8999
6264.273079895750,3199
6264.567361033020,2999
6264.567361033020,3499
6264.567361033020,3599
6264.567361033020,3999
6266.112541473090,3995
6267.791330761200,2499
6267.791330761200,2999
6267.791330761200,3599
6267.791330761200,4199
6267.791330761200,5999
6289.703939663580,2199
6290.021312089670,6295
6315.970584943800,3955
6315.970584943800,4499
6315.970584943800,6999
6331.7414546900300,1999
6335.585482798150,2250
6343.515553639490,12999
6348.29264663219,6999
6365.044598189950,4495
6374.610948288240,2399
6374.610948288240,6999
6398.356998593420,2899
6401.236162522270,2199
6401.7018567362700,4995
6412.454733599440,6995
6423.224057887190,3699
6426.408806768970,2099
6426.408806768970,3199
6426.408806768970,4499
6426.408806768970,4799
6426.408806768970,5999
6430.848566074300,6750
6450.573929809580,2999
6450.573929809580,7850
6470.15920275828,2750
6473.103178048270,3999
6488.964203228700,3900
6497.220501120490,7999
6518.1782722599700,3999
6518.1782722599700,3999
6535.070000533210,3399
6558.49043877403,6999
6564.170662496150,2399
6572.041569318200,5795
6611.164822781430,3699
6631.990892936690,4999
6631.990892936690,4999
6639.172389402270,4999
6640.696913608980,4999
6658.874875723390,4500
6658.874875723390,5700
6658.874875723390,6900
6670.061528390890,3999
6692.400801240100,3999
6693.769260615820,7990
6696.370859062250,1999
6696.370859062250,2799
6696.370859062250,2995
6696.370859062250,3999
6696.370859062250,4499
6696.370859062250,5499
6696.370859062250,5999
6701.566723733430,3390
6707.580333960070,4599
6707.580333960070,6999
6707.580333960070,6999
6715.228834805470,7495
6742.847361807740,8995
6747.907316299070,2696
6759.656081366830,4599
6764.418746440100,7395
6775.051355937490,3499
6782.874844109640,3455
6782.874844109640,3995
6796.879867383690,3199
6803.254608901860,5990
6808.25537906977,3495
6808.25537906977,4495
6808.25537906977,4995
6844.487202752270,3995
6844.487202752270,4000
6844.487202752270,8995
6844.487202752270,8995
6860.429448947300,3999
6860.734658337490,6999
6893.033576715650,1999
6893.033576715650,3199
6893.033576715650,3999
6893.033576715650,4499
6900.8593168376,4999
6901.156180051520,8995
6901.156180051520,10495
6901.156180051520,10950
6908.604838138040,6900
6908.604838138040,7995
6915.14986505833,3995
6923.84439368712,2599
6923.84439368712,4495
6923.916866559350,4995
6923.916866559350,8995
6931.045446020040,7499
6931.869841686740,3995
6934.035554370850,5199
6948.111356564820,2995
6948.111356564820,6997
6956.497973324540,7900
6963.20623124603,4999
6964.373709559260,3995
6964.373709559260,5500
6969.710302980680,4395
6971.350266999030,3999
6971.350266999030,4999
6973.1201519355000,6995
6976.293397793930,6899
6989.847538363220,2699
6989.847538363220,4499
6997.971442540270,4992
7000.589783475040,3499
7000.589783475040,3499
7003.493065159570,6490
7003.890045586700,2999
7003.890045586700,3499
7003.890045586700,3699
7003.890045586700,3699
7003.890045586700,3899
7003.890045586700,3899
7003.890045586700,3995
7003.890045586700,3999
7003.890045586700,3999
7003.890045586700,4499
7003.890045586700,4999
7003.890045586700,5299
7003.890045586700,5499
7003.890045586700,6499
7006.396110908490,4900
7009.247982454660,2995
7009.247982454660,3995
7009.247982454660,4000
7009.247982454660,4700
7009.247982454660,4995
7009.247982454660,5795
7011.502022198290,3995
7011.502022198290,5991
7015.099520484530,2995
7015.099520484530,5999
7044.462181045190,3995
7061.128829955570,4999
7067.178217420360,7995
7067.84016951554,2999
7068.788853850810,4250
7068.788853850810,5299
7068.930971587810,6250
7071.876710754460,2499
7074.89374061995,5400
7074.89374061995,5900
7074.89374061995,5995
7085.21374395304,8988
7088.533169820670,3899
7091.57301655079,11995
7103.5439782937700,4900
7104.399053908140,3999
7113.1476733807500,4995
7135.255878808720,9485
7146.520666390780,5499
7153.67792228595,3399
7153.67792228595,3999
7153.67792228595,4999
7159.035859153900,7995
7162.399463404820,9495
7171.245897759910,5995
7171.245897759910,6995
7171.6434908807600,4995
7171.6434908807600,7990
7191.582351428920,4999
7191.641751118760,7999
7194.056986597510,8995
7195.429624530940,4999
7195.429624530940,5499
7195.429624530940,7500
7200.195350253250,3099
7204.1356452032300,5999
7213.379672679170,3777
7213.379672679170,4500
7238.564632544500,10999
7241.501837094210,5995
7253.593493181430,7795
7267.3694439102600,3999
7269.398405289940,5995
7271.530215815640,4895
7275.200131350310,4699
7280.321092126710,6900
7299.439780477410,15995
7299.683899673280,7999
7319.515599859670,1899
7319.515599859670,3999
7326.665254870520,8790
7350.264563650060,8395
7350.344949168620,10295
7351.2932188966300,6499
7361.251781658070,3999
7384.3110552793900,12900
7403.532606867880,2999
7416.915383927160,8499
7420.721762150190,3999
7443.181888717860,8599
7446.510840141030,6495
7459.964036587630,3999
7462.438671756210,13995
7471.404736089730,6400
7476.954061154150,13995
7484.852644746950,4199
7508.846361585190,4999
7518.388467488450,4499
7523.97401467972,4999
7528.925762334550,3499
7530.412934552610,6295
7533.153382800940,6999
7540.922000235870,6495
7568.0655848319800,6999
7577.889181470980,6995
7582.23323631288,6995
7594.774795716790,2995
7595.62694550688,5000
7599.084560674010,4999
7599.723108024670,7995
7616.563136589340,6499
7619.185345933710,5499
7622.819269709240,7999
7636.793910685920,4699
7637.571651996880,5500
7638.4790617474000,7999
7647.034252470560,6795
7653.037635115990,4995
7654.597892301640,7995
7658.245552800420,5890
7665.630629439940,4500
7670.147309994370,6995
7670.7921170299800,10750
7685.113273766670,5995
7690.589205768860,3999
7695.173714255000,5890
7714.594048576370,8995
7723.601587517260,3999
7725.181721286820,4999
7728.225317021920,5750
7728.225317021920,8995
7741.55558344548,9995
7744.031591364700,10495
7758.886422843190,5899
7759.762105880900,7500
7761.497805329950,5800
7768.882881969460,3995
7775.547335022700,3899
7775.547335022700,8999
7776.414507247510,8499
7783.225839697770,8990
7795.5299890688700,9900
7802.915065708390,7742
7803.709415370850,6775
7814.000735136070,6999
7822.397710035130,3400
7822.397710035130,7995
7822.397710035130,8495
7826.27459322296,5995
7827.702066626170,15995
7831.78472270889,8895
7846.457607003040,11495
7846.767648369570,6991
7871.236816466540,8888
7874.458605994520,6999
7877.521835536880,6995
7878.981404331180,8900
7879.606849249800,9995
7881.9562534689600,4200
7881.9562534689600,5995
7883.909020868150,8995
7887.209515455280,3699
7895.515476193110,5999
7895.515476193110,9499
7895.515476193110,9995
7896.170859111650,3599
7896.474818202910,3450
7896.474818202910,5000
7904.990869204100,12500
7907.963699508610,6995
7908.246064830510,5700
7918.168010167260,5995
7918.630298404810,2699
7924.851800489680,7999
7932.706641885410,5995
7932.706641885410,5995
7939.081214436710,8500
7944.313097210370,3399
7944.313097210370,4995
7944.313097210370,5550
7945.090838521340,16495
7947.106339239190,5990
7947.106339239190,5995
7947.106339239190,8490
7947.150305344690,6995
7952.242395210100,10495
7956.036027246270,3899
7961.363532839550,9999
7961.363532839550,11999
7964.512172911060,7590
7964.512172911060,7995
7964.512172911060,11495
7972.1730952574200,10995
7984.052084638020,4900
7987.95908574795,3295
8006.5336159728000,5995
8007.118569144860,9995
8008.3439536221000,17999
8010.429922855860,3995
8021.776427836200,2199
8021.776427836200,2999
8021.776427836200,5250
8021.776427836200,5250
8023.57714778917,12999
8030.926457363870,3855
8036.506033970240,9295
8037.516306853780,3500
8040.492878493870,5995
8042.275305472550,6495
8048.669800570530,4995
8048.669800570530,10999
8054.132307694580,5999
8055.914734673270,3999
8060.10755285805,8999
8063.735482510860,4199
8079.360968102160,17495
8084.390775507640,7900
8084.390775507640,7990
8084.390775507640,12990
8094.100973909620,3399
8094.100973909620,7999
8097.467421587790,4999
8097.467421587790,6200
8097.467421587790,10995
8097.467421587790,14499
8108.170904699440,8990
8132.632896707260,7499
8135.591832154400,7999
8135.591832154400,9995
8147.198287479360,2995
8147.198287479360,4999
8147.198287479360,7999
8150.868644005340,5999
8152.522073367540,5499
8157.188092338760,13900
8161.009230259590,5995
8161.009230259590,8999
8167.593558011440,9995
8171.246656421520,8499
8179.575774273460,8995
8187.380489578590,7995
8187.643028037170,7400
8187.643028037170,11788
8192.035385764350,4999
8194.566702911620,11995
8236.497820902970,4499
8238.23133135228,7995
8239.9574981906,7999
8241.574687010940,4995
8246.04515011053,7995
8251.213916900170,3899
8251.213916900170,3999
8262.131693715570,8495
8262.131693715570,11999
8268.023975031750,5999
8286.118211252130,8495
8300.352611856780,6995
8300.352611856780,8995
8300.352611856780,14995
8301.407483819460,6495
8303.59127538159,4999
8309.74533575461,3999
8325.955455087690,8995
8344.716823984160,9500
8349.61921458068,9999
8351.89242421346,5995
8364.337635200160,4495
8364.337635200160,5995
8368.097863494070,4299
8384.912026827650,10995
8402.154325823480,8900
8406.335466713320,10990
8408.495341753660,9684
8430.837927148040,5900
8433.028968369080,5999
8437.694962284060,6999
8438.18330104527,8799
8443.200120396010,2500
8443.200120396010,7995
8449.414695573430,5400
8450.888286007100,6995
8450.888286007100,12491
8461.958420928130,7290
8462.494741332070,2999
8462.494741332070,5995
8462.494741332070,6999
8462.494741332070,9995
8462.494741332070,13995
8462.575473814960,6999
8462.575473814960,10593
8462.575473814960,13861
8466.235509991820,8995
8466.235509991820,9990
8466.235509991820,11995
8470.281472238170,9900
8471.619923088790,8599
8474.920824213980,6750
8476.5935897926,7995
8476.5935897926,9499
8480.036070017190,7750
8489.639244833460,3199
8489.639244833460,3599
8489.639244833460,5999
8489.639244833460,11499
8490.737554163100,8698
8490.737554163100,11997
8494.724398686720,7950
8498.814614916280,7995
8498.814614916280,8093
8502.896728186420,20575
8514.002557711790,10900
8541.175238207310,3399
8542.368727625960,6999
8553.090295105710,10499
8553.090295105710,16499
8572.060246961120,3999
8576.126874790100,3295
8576.375263081960,7899
8580.081931659910,27995
8582.7309064266,12490
8584.62596752846,5899
8584.62596752846,7900
8601.302025866930,10995
8601.302025866930,12995
8602.602963230440,1599
8602.602963230440,4999
8615.649065709490,5995
8615.649065709490,10985
8615.649065709490,11000
8620.175247150590,10495
8624.11622454957,8995
8628.971642641920,7995
8634.420011435480,3499
8634.640325756950,19995
8643.740726221580,10550
8643.740726221580,12495
8643.740726221580,12495
8645.449888174810,15990
8650.814540828960,3750
8668.583829230770,7995
8686.797055464670,8995
8697.353694014630,12499
8700.159436640670,6999
8702.143019856850,4995
8702.57109729335,6995
8702.57109729335,7390
8702.57109729335,9800
8702.57109729335,9999
8702.57109729335,17995
8714.177552618320,4499
8714.177552618320,6995
8714.177552618320,16499
8714.258285101210,7999
8714.258285101210,13995
8726.603635500230,8995
8742.42036544935,6495
8742.42036544935,9900
8742.42036544935,10995
8744.487559008230,10933
8749.687898183550,10480
8750.051108984080,6995
8760.046639173690,11999
8774.644816087920,11995
8792.858049493560,2999
8794.325375475900,12995
8798.879389122140,6999
8799.763805584820,10995
8799.763805584820,12837
8802.30723760133,6995
8803.64150705957,5988
8807.666128248310,3495
8808.501505923960,12990
8824.378997928780,7995
8833.681989341560,11995
