prediction,trueLabel
74335.19912637020,75345
74273.3712981234,74995
73597.932799859,63987
73165.23060672140,48995
72169.50155239170,49999
71379.31819937420,41881
70842.0738065664,46505
70271.84844110930,39990
69519.9526913305,53800
69514.95228069310,67995
69425.30368400610,39975
69240.55059018510,46999
68736.84639177600,50975
68581.16456790010,62985
68175.88044367840,59860
66231.51497995980,61840
66227.95380783170,66000
66225.98902320930,70380
66194.81301832860,56999
65919.87693686540,20995
65634.40487862990,59540
65634.40487862990,50875
65434.64115512570,50824
65434.64115512570,43083
65180.040664604700,71710
64998.79303111650,47565
64998.79303111650,41990
64655.2375482218,45995
64535.14136943900,67925
64535.14136943900,61310
63760.75178336120,71995
63483.24004118620,69995
63285.88205068450,55153
63129.2576075726,58110
63129.0120094948,64435
63119.06528734390,59690
62554.11595399150,78620
62400.82970908130,79646
62400.82970908130,78080
62400.82970908130,78080
62400.82970908130,60187
62400.82970908130,60187
62400.82970908130,50052
62395.00312465570,57325
62392.42434483890,57820
62377.99499940840,74304
62377.99499940840,74304
62377.99499940840,74304
62377.99499940840,73960
62377.99499940840,73884
62377.99499940840,68190
62377.99499940840,68190
62377.99499940840,65670
62377.99499940840,65086
62377.99499940840,65086
62377.99499940840,63973
62377.99499940840,63866
62377.99499940840,63866
62377.99499940840,61226
62377.99499940840,60564
62377.99499940840,59038
62377.99499940840,48406
62377.99499940840,48406
62377.99499940840,48406
62377.99499940840,48058
62377.99499940840,47806
62377.99499940840,47806
62377.99499940840,47796
62377.99499940840,47796
62377.99499940840,47448
62377.99499940840,46685
62377.99499940840,46076
62332.50879336060,66615
62332.50879336060,62203
62262.83708821190,58253
62262.83708821190,56489
62227.87843659860,77481
62227.87843659860,77481
62227.87843659860,77481
62227.87843659860,66740
62227.87843659860,61145
62227.87843659860,52714
62171.93230057250,62128
62060.24898681300,46664
61982.75501677800,77995
61945.51024980180,55728
61944.89625460730,56561
61692.57621056310,32995
61598.13151140480,55265
61590.76356907080,55570
61452.38596777070,73995
60857.77224288110,74916
60822.42689821570,62995
60592.24075766420,54062
60568.846882888100,77995
60548.09384531400,70995
60507.41740473530,69149
60506.557811463,66067
60425.42433167230,75950
60365.25280261150,73354
60042.35275239350,76480
59984.22824597840,65971
59961.02816337380,75622
59868.56030247070,68400
59715.09107475110,65015
59709.31951992280,75800
59428.44887941500,57750
59401.93651532000,58080
59398.99099663320,58942
59376.34541613410,74995
59268.39230253380,52010
59168.58358600270,61345
58966.77271842750,58105
58966.64991938860,58105
58945.61039078250,44595
58920.65814964480,43999
58727.092498967900,42550
58704.06925888060,77727
58571.40370123580,57895
58429.90286836470,69095
58167.75407315610,56327
57989.06491439900,42995
57891.054863040300,46995
57868.679138346000,61850
57754.88109514770,73093
57754.88109514770,67248
57732.644102859800,49995
57632.432183403200,37495
57541.75274317790,56857
57503.99229242880,48995
57489.1202004213,70500
57393.89769900610,34428
57367.14623734070,38995
57303.08195769160,39995
56974.72259155030,58457
56882.42724731680,64126
56764.307026567900,39999
56754.82273751930,74333
56754.82273751930,72448
56754.82273751930,64317
56754.82273751930,64249
56754.82273751930,60786
56754.82273751930,58500
56674.14892610420,56225
56673.65772994860,63375
56673.412131870800,53000
56664.325002992200,54155
56661.62342413640,53235
56638.78280290110,50765
56631.86760677800,61584
56604.231622877700,73681
56604.231622877700,70629
56604.231622877700,61310
56604.231622877700,56424
56604.231622877700,51354
56604.231622877700,50967
56604.231622877700,48324
56535.3822148555,29800
56518.70778070530,57792
56429.41143419820,52509
56286.659186389800,61148
56285.92239215640,58625
56285.79959311750,61185
56284.32600465070,56084
56284.32600465070,50607
56226.29815401940,49999
56201.74933941200,59675
56200.030152867400,58580
56195.36378938920,56424
56089.917188293,78640
56039.67142162890,77545
55940.009132701600,74655
55939.403247031700,39695
55939.403247031700,39295
55939.03484991500,65845
55938.9120508761,68290
55938.789251837200,75200
55938.789251837200,73685
55938.789251837200,46485
55938.2980556816,58685
55878.787098790400,58988
55868.667761584000,55715
55868.667761584000,47688
55868.667761584000,47688
55788.76227218230,79940
55788.76227218230,79445
55788.76227218230,78700
55788.76227218230,77915
55788.76227218230,77585
55788.76227218230,76615
55772.43201680070,58535
55744.12473554800,61440
55744.12473554800,48355
55692.14693996700,19995
55598.65117274010,53885
55449.9903920255,59540
55432.62092653190,49999
55427.89987561110,37995
55374.914202575100,47995
55309.329335772200,66125
55289.295052398700,46106
55284.38309084270,54110
55044.4676317135,67988
54978.02703696560,69988
54969.89145625690,64945
54942.03069259800,78128
54901.43691556770,47867
54898.858135750800,50503
54795.46509595370,64799
54758.20976781690,39991
54735.4380259845,21575
54708.601580934200,49981
54554.794971404000,52770
54554.180976209500,46390
54552.83018678160,49540
54552.584588703800,52420
54547.910557554600,45500
54432.61817492160,33800
54399.77696862990,42900
54254.72571555100,60684
54253.53974912780,48395
54194.27901750740,67878
54173.0576992388,52332
54172.9349001999,40205
54147.21957943710,35995
54108.431404912500,44277
53836.69606955490,32995
53835.97597594540,60995
53833.975552971900,48741
53832.10380832650,56995
53625.01900186810,59995
53613.150884367900,64740
53613.150884367900,59145
53571.64609245220,73930
53571.64609245220,70716
53571.52329341330,70716
53551.606912727200,46227
53551.606912727200,45323
53346.956400230400,43794
53332.67800126140,43999
53274.52563366220,34295
53261.40538049930,77085
53212.82161830640,31843
53193.82946476730,66950
53125.79263904020,53920
53118.6911860043,31900
53064.23581325300,42998
53022.168522308800,32449
52980.869595293900,27300
52952.496817160100,37647
52936.90493634830,75000
52890.28468039160,37995
52877.965366085500,36999
52876.61457665760,36999
52857.95471062390,46995
52841.941279784500,49978
52841.941279784500,46625
52841.941279784500,46625
52841.941279784500,46538
52841.941279784500,46538
52841.941279784500,46450
52841.941279784500,44305
52841.941279784500,42771
52841.941279784500,42771
52841.941279784500,42771
52841.941279784500,42771
52740.36173087780,69035
52702.85393661470,36999
52679.15306489620,46215
52672.04603881430,34950
52669.99164672970,27300
52643.719861451100,60219
52643.719861451100,60219
52643.719861451100,54422
52624.02511988920,37381
52568.39189591650,40177
52531.71996798970,49458
52531.71996798970,48630
52531.71996798970,46302
52531.71996798970,45909
52531.71996798970,34058
52528.561950254600,47028
52528.561950254600,44872
52497.53535885500,72495
52497.53535885500,56730
52497.53535885500,56430
52497.53535885500,51700
52496.43016750490,51805
